,Day,Weekday,Race Number,Post Position,M/L Odds,Finish,Final Odds,Change In Odds,ML_Odds_Split,F_Odds_Split,Diff_Odds_Split
539,6,Friday,2,9,4.5,3,5.03,0.53,2,3,1
540,6,Friday,2,10,10.0,7,10.98,0.98,3,4,1
541,6,Friday,2,11,12.0,11,7.56,4.44,4,3,2
542,6,Friday,2,12,8.0,12,15.68,7.68,3,5,3
544,6,Friday,2,14,20.0,2,67.3,47.3,5,8,7
546,6,Friday,3,1,3.0,1,1.61,1.39,2,1,1
547,6,Friday,3,2,2.5,2,4.69,2.19,2,2,2
548,6,Friday,3,3,4.5,3,4.16,0.34,2,2,1
549,6,Friday,3,4,4.0,5,3.54,0.46,2,2,1
551,6,Friday,3,6,30.0,4,23.15,6.85,6,6,3
552,6,Friday,3,7,10.0,6,4.63,5.37,3,2,3
553,6,Friday,4,1,15.0,7,28.72,13.72,4,6,4
554,6,Friday,4,2,1.2,1,0.69,0.51,1,1,1
557,6,Friday,4,5,10.0,2,9.73,0.27,3,3,1
558,6,Friday,4,6,30.0,9,76.63,46.63,6,8,7
559,6,Friday,4,7,6.0,5,9.15,3.15,3,3,2
560,6,Friday,4,8,4.5,3,5.97,1.47,2,3,1
561,6,Friday,4,9,30.0,6,42.87,12.87,6,7,4
562,6,Friday,4,10,20.0,4,42.34,22.34,5,7,6
563,6,Friday,4,11,8.0,8,4.75,3.25,3,2,2
565,6,Friday,5,2,30.0,4,15.39,14.61,6,5,4
570,6,Friday,5,7,20.0,2,1.85,18.15,5,1,5
572,6,Friday,5,9,15.0,3,6.84,8.16,4,3,3
573,6,Friday,5,10,8.0,1,1.2,6.8,3,1,3
577,6,Friday,5,14,20.0,5,4.07,15.93,5,2,5
579,6,Friday,6,1,15.0,4,20.78,5.78,4,6,3
580,6,Friday,6,2,4.5,1,1.17,3.33,2,1,2
581,6,Friday,6,3,10.0,7,23.26,13.26,3,6,4
582,6,Friday,6,4,6.0,3,12.15,6.15,3,4,3
583,6,Friday,6,5,15.0,12,9.75,5.25,4,3,3
584,6,Friday,6,6,30.0,8,98.44,68.44,6,8,8
585,6,Friday,6,7,20.0,9,46.47,26.47,5,7,6
586,6,Friday,6,8,3.0,11,6.17,3.17,2,3,2
587,6,Friday,6,9,4.0,5,5.07,1.07,2,3,1
588,6,Friday,6,10,20.0,10,66.13,46.13,5,8,7
589,6,Friday,6,11,20.0,6,83.32,63.32,5,8,8
590,6,Friday,6,12,8.0,2,7.85,0.15,3,3,1
592,6,Friday,7,2,50.0,6,49.58,0.42,7,7,1
594,6,Friday,7,4,6.0,2,5.04,0.96,3,3,1
595,6,Friday,7,5,15.0,3,10.06,4.94,4,4,2
596,6,Friday,7,6,15.0,5,10.71,4.29,4,4,2
597,6,Friday,7,7,30.0,8,39.36,9.36,6,7,3
598,6,Friday,7,8,20.0,4,8.76,11.24,5,3,4
599,6,Friday,7,9,12.0,7,3.95,8.05,4,2,3
604,6,Friday,7,14,12.0,1,0.99,11.01,4,1,4
605,6,Friday,8,1,12.0,6,8.9,3.1,4,3,2
606,6,Friday,8,2,30.0,3,48.66,18.66,6,7,5
607,6,Friday,8,3,4.5,2,3.72,0.78,2,2,1
608,6,Friday,8,4,6.0,4,12.82,6.82,3,4,3
609,6,Friday,8,5,3.5,1,7.38,3.88,2,3,2
610,6,Friday,8,6,20.0,8,66.17,46.17,5,8,7
611,6,Friday,8,7,15.0,7,28.08,13.08,4,6,4
612,6,Friday,8,8,30.0,11,108.0,78.0,6,8,8
613,6,Friday,8,9,12.0,10,14.21,2.21,4,4,2
614,6,Friday,8,10,20.0,9,35.16,15.16,5,7,5
615,6,Friday,8,11,1.8,5,0.94,0.86,1,1,1
617,6,Friday,9,2,8.0,5,8.54,0.54,3,3,1
618,6,Friday,9,3,10.0,2,5.8,4.2,3,3,2
619,6,Friday,9,4,0.8,1,0.77,0.03,1,1,1
620,6,Friday,9,5,20.0,6,8.61,11.39,5,3,4
621,6,Friday,9,6,15.0,4,15.26,0.26,4,5,1
623,6,Friday,9,8,4.5,3,3.74,0.76,2,2,1
624,6,Friday,10,1,4.5,2,3.8,0.7,2,2,1
625,6,Friday,10,2,30.0,6,46.16,16.16,6,7,5
626,6,Friday,10,3,20.0,5,32.44,12.44,5,7,4
627,6,Friday,10,4,3.0,1,2.25,0.75,2,2,1
628,6,Friday,10,5,8.0,4,8.1,0.1,3,3,1
629,6,Friday,10,6,15.0,9,31.88,16.88,4,7,5
631,6,Friday,10,8,6.0,8,12.15,6.15,3,4,3
632,6,Friday,10,9,15.0,3,5.81,9.19,4,3,3
633,6,Friday,10,10,10.0,7,2.83,7.17,3,2,3
634,7,Saturday,1,1,4.0,1,1.39,2.61,2,1,2
635,7,Saturday,1,2,30.0,10,93.95,63.95,6,8,8
636,7,Saturday,1,3,2.0,3,2.58,0.58,1,2,1
637,7,Saturday,1,4,4.5,9,9.22,4.72,2,3,2
638,7,Saturday,1,5,15.0,4,53.31,38.31,4,8,7
640,7,Saturday,1,7,30.0,11,57.25,27.25,6,8,6
641,7,Saturday,1,8,30.0,8,115.36,85.36,6,8,8
642,7,Saturday,1,9,12.0,5,17.02,5.02,4,5,3
643,7,Saturday,1,10,10.0,7,9.71,0.29,3,3,1
644,7,Saturday,1,11,6.0,2,4.76,1.24,3,2,1
645,7,Saturday,1,12,20.0,6,49.81,29.81,5,7,6
647,7,Saturday,2,2,4.5,3,6.23,1.73,2,3,1
648,7,Saturday,2,3,1.6,2,2.67,1.07,1,2,1
649,7,Saturday,2,4,3.0,4,2.63,0.37,2,2,1
650,7,Saturday,2,5,10.0,5,7.24,2.76,3,3,2
651,7,Saturday,2,6,6.0,1,1.87,4.13,3,1,2
652,7,Saturday,2,7,20.0,6,26.63,6.63,5,6,3
655,7,Saturday,3,2,20.0,7,53.67,33.67,5,8,7
656,7,Saturday,3,3,8.0,6,10.1,2.1,3,4,2
657,7,Saturday,3,4,4.0,2,2.64,1.36,2,2,1
658,7,Saturday,3,5,12.0,1,14.46,2.46,4,4,2
659,7,Saturday,3,6,15.0,5,5.03,9.97,4,3,3
662,7,Saturday,3,9,15.0,9,27.66,12.66,4,6,4
663,7,Saturday,3,10,20.0,4,13.95,6.05,5,4,3
664,7,Saturday,3,11,10.0,8,20.62,10.62,3,6,4
665,7,Saturday,3,12,3.5,3,1.33,2.17,2,1,2
666,7,Saturday,4,1,15.0,6,7.99,7.01,4,3,3
667,7,Saturday,4,2,30.0,9,37.86,7.86,6,7,3
668,7,Saturday,4,3,4.5,2,3.9,0.6,2,2,1
669,7,Saturday,4,4,15.0,5,20.03,5.03,4,6,3
670,7,Saturday,4,5,12.0,3,32.87,20.87,4,7,6
671,7,Saturday,4,6,8.0,7,3.25,4.75,3,2,2
673,7,Saturday,4,8,8.0,8,24.9,16.9,3,6,5
674,7,Saturday,4,9,3.5,4,2.78,0.72,2,2,1
675,7,Saturday,4,10,4.0,1,3.25,0.75,2,2,1
676,7,Saturday,5,1,10.0,2,6.05,3.95,3,3,2
677,7,Saturday,5,2,2.5,3,0.93,1.57,2,1,1
678,7,Saturday,5,3,30.0,10,102.56,72.56,6,8,8
679,7,Saturday,5,4,30.0,5,54.38,24.38,6,8,6
680,7,Saturday,5,5,4.0,4,9.18,5.18,2,3,3
681,7,Saturday,5,6,12.0,7,22.14,10.14,4,6,4
682,7,Saturday,5,7,20.0,8,114.65,94.65,5,8,8
683,7,Saturday,5,8,10.0,12,16.72,6.72,3,5,3
684,7,Saturday,5,9,6.0,1,7.93,1.93,3,3,1
685,7,Saturday,5,10,15.0,6,14.54,0.46,4,4,1
686,7,Saturday,5,11,12.0,9,33.82,21.82,4,7,6
687,7,Saturday,5,12,6.0,11,9.64,3.64,3,3,2
692,7,Saturday,6,1,6.0,1,7.06,1.06,3,3,1
693,7,Saturday,6,2,1.0,3,0.57,0.43,1,1,1
695,7,Saturday,6,4,12.0,6,25.31,13.31,4,6,4
696,7,Saturday,6,5,10.0,5,22.17,12.17,3,6,4
697,7,Saturday,6,6,4.0,4,5.43,1.43,2,3,1
698,7,Saturday,6,7,5.0,2,4.16,0.84,2,2,1
699,7,Saturday,7,1,5.0,6,8.48,3.48,2,3,2
700,7,Saturday,7,2,6.0,7,6.91,0.91,3,3,1
702,7,Saturday,7,4,8.0,8,6.14,1.86,3,3,1
703,7,Saturday,7,5,12.0,5,30.27,18.27,4,7,5
704,7,Saturday,7,6,15.0,4,14.7,0.3,4,4,1
705,7,Saturday,7,7,20.0,10,43.55,23.55,5,7,6
706,7,Saturday,7,8,4.0,1,1.76,2.24,2,1,2
707,7,Saturday,7,9,10.0,12,11.16,1.16,3,4,1
708,7,Saturday,7,10,30.0,9,114.92,84.92,6,8,8
709,7,Saturday,7,11,3.5,3,7.51,4.01,2,3,2
710,7,Saturday,7,12,8.0,2,7.75,0.25,3,3,1
711,7,Saturday,7,13,10.0,11,59.43,49.43,3,8,7
712,7,Saturday,8,1,6.0,6,4.12,1.88,3,2,1
713,7,Saturday,8,2,6.0,5,3.24,2.76,3,2,2
714,7,Saturday,8,3,3.0,1,4.62,1.62,2,2,1
715,7,Saturday,8,4,5.0,3,6.7,1.7,2,3,1
716,7,Saturday,8,5,10.0,2,7.95,2.05,3,3,2
718,7,Saturday,8,7,4.5,4,1.93,2.57,2,1,2
720,7,Saturday,9,1,10.0,5,28.55,18.55,3,6,5
721,7,Saturday,9,2,6.0,6,13.28,7.28,3,4,3
722,7,Saturday,9,3,8.0,9,12.47,4.47,3,4,2
723,7,Saturday,9,4,50.0,10,140.86,90.86,7,8,8
724,7,Saturday,9,5,4.5,2,1.71,2.79,2,1,2
725,7,Saturday,9,6,3.0,7,3.6,0.6,2,2,1
726,7,Saturday,9,7,5.0,4,4.45,0.55,2,2,1
727,7,Saturday,9,8,15.0,8,25.16,10.16,4,6,4
728,7,Saturday,9,9,4.0,3,5.17,1.17,2,3,1
729,7,Saturday,9,10,15.0,1,25.84,10.84,4,6,4
730,7,Saturday,10,1,15.0,4,13.2,1.8,4,4,1
731,7,Saturday,10,2,2.5,2,1.49,1.01,2,1,1
732,7,Saturday,10,3,12.0,3,36.38,24.38,4,7,6
733,7,Saturday,10,4,10.0,5,15.7,5.7,3,5,3
734,7,Saturday,10,5,3.5,7,5.03,1.53,2,3,1
735,7,Saturday,10,6,30.0,9,59.36,29.36,6,8,6
737,7,Saturday,10,8,5.0,1,3.31,1.69,2,2,1
738,7,Saturday,10,9,4.0,6,6.25,2.25,2,3,2
739,7,Saturday,10,10,8.0,8,11.33,3.33,3,4,2
740,7,Saturday,11,1,6.0,7,6.45,0.45,3,3,1
742,7,Saturday,11,3,15.0,10,22.87,7.87,4,6,3
743,7,Saturday,11,4,6.0,6,13.79,7.79,3,4,3
744,7,Saturday,11,5,4.5,1,3.21,1.29,2,2,1
745,7,Saturday,11,6,20.0,9,22.32,2.32,5,6,2
746,7,Saturday,11,7,15.0,3,23.05,8.05,4,6,3
747,7,Saturday,11,8,6.0,4,7.32,1.32,3,3,1
748,7,Saturday,11,9,4.0,2,3.34,0.66,2,2,1
749,7,Saturday,11,10,6.0,5,4.82,1.18,3,2,1
750,7,Saturday,11,11,8.0,8,9.85,1.85,3,3,1
751,7,Saturday,11,12,30.0,11,89.55,59.55,6,8,8
756,8,Sunday,1,1,4.0,2,3.18,0.82,2,2,1
757,8,Sunday,1,2,20.0,6,16.65,3.35,5,5,2
758,8,Sunday,1,3,15.0,5,43.95,28.95,4,7,6
759,8,Sunday,1,4,15.0,3,18.84,3.84,4,5,2
760,8,Sunday,1,5,8.0,1,10.47,2.47,3,4,2
761,8,Sunday,1,6,3.0,7,5.62,2.62,2,3,2
762,8,Sunday,1,7,6.0,8,15.68,9.68,3,5,3
764,8,Sunday,1,9,6.0,9,9.16,3.16,3,3,2
765,8,Sunday,1,10,5.0,4,1.34,3.66,2,1,2
766,8,Sunday,2,1,2.0,4,1.27,0.73,1,1,1
767,8,Sunday,2,2,8.0,6,5.11,2.89,3,3,2
769,8,Sunday,2,4,20.0,2,39.5,19.5,5,7,5
770,8,Sunday,2,5,30.0,3,21.78,8.22,6,6,3
771,8,Sunday,2,6,15.0,7,10.36,4.64,4,4,2
773,8,Sunday,2,8,15.0,5,35.95,20.95,4,7,6
774,8,Sunday,2,9,4.0,1,1.47,2.53,2,1,2
775,8,Sunday,3,1,3.5,1,0.96,2.54,2,1,2
776,8,Sunday,3,2,12.0,12,22.48,10.48,4,6,4
777,8,Sunday,3,3,15.0,3,17.66,2.66,4,5,2
778,8,Sunday,3,4,20.0,11,25.55,5.55,5,6,3
779,8,Sunday,3,5,8.0,7,10.08,2.08,3,4,2
780,8,Sunday,3,6,5.0,5,10.44,5.44,2,4,3
781,8,Sunday,3,7,12.0,8,36.9,24.9,4,7,6
782,8,Sunday,3,8,15.0,10,27.37,12.37,4,6,4
783,8,Sunday,3,9,20.0,9,54.95,34.95,5,8,7
784,8,Sunday,3,10,4.0,2,5.53,1.53,2,3,1
785,8,Sunday,3,11,6.0,4,7.88,1.88,3,3,1
786,8,Sunday,3,12,15.0,6,38.26,23.26,4,7,6
792,8,Sunday,4,2,20.0,4,21.04,1.04,5,6,1
793,8,Sunday,4,3,2.0,2,0.35,1.65,1,1,1
794,8,Sunday,4,4,12.0,3,5.19,6.81,4,3,3
795,8,Sunday,4,5,30.0,1,6.55,23.45,6,3,6
797,8,Sunday,4,7,20.0,6,13.25,6.75,5,4,3
798,8,Sunday,4,8,20.0,5,22.2,2.2,5,6,2
801,8,Sunday,5,1,3.5,2,4.48,0.98,2,2,1
802,8,Sunday,5,2,15.0,5,21.33,6.33,4,6,3
803,8,Sunday,5,3,12.0,8,11.4,0.6,4,4,1
804,8,Sunday,5,4,15.0,11,22.79,7.79,4,6,3
805,8,Sunday,5,5,1.8,4,2.65,0.85,1,2,1
806,8,Sunday,5,6,20.0,6,26.82,6.82,5,6,3
807,8,Sunday,5,7,8.0,1,2.6,5.4,3,2,3
808,8,Sunday,5,8,4.0,7,10.56,6.56,2,4,3
809,8,Sunday,5,9,30.0,10,68.99,38.99,6,8,7
810,8,Sunday,5,10,20.0,9,37.2,17.2,5,7,5
811,8,Sunday,5,11,15.0,3,6.89,8.11,4,3,3
812,8,Sunday,6,1,4.5,6,7.45,2.95,2,3,2
813,8,Sunday,6,2,15.0,2,18.66,3.66,4,5,2
814,8,Sunday,6,3,1.8,5,1.22,0.58,1,1,1
816,8,Sunday,6,5,20.0,4,19.47,0.53,5,5,1
818,8,Sunday,6,7,8.0,7,8.18,0.18,3,3,1
819,8,Sunday,6,8,3.0,3,4.07,1.07,2,2,1
820,8,Sunday,6,9,6.0,1,3.58,2.42,3,2,2
821,8,Sunday,7,1,15.0,3,17.13,2.13,4,5,2
822,8,Sunday,7,2,20.0,1,21.77,1.77,5,6,1
823,8,Sunday,7,3,30.0,7,69.3,39.3,6,8,7
824,8,Sunday,7,4,4.5,6,4.02,0.48,2,2,1
825,8,Sunday,7,5,4.0,8,13.75,9.75,2,4,3
826,8,Sunday,7,6,20.0,5,24.19,4.19,5,6,2
827,8,Sunday,7,7,8.0,9,4.47,3.53,3,2,2
828,8,Sunday,7,8,10.0,10,19.06,9.06,3,5,3
829,8,Sunday,7,9,50.0,11,88.25,38.25,7,8,7
830,8,Sunday,7,10,6.0,4,6.77,0.77,3,3,1
832,8,Sunday,7,12,3.0,2,1.51,1.49,2,1,1
834,8,Sunday,8,1,20.0,7,39.56,19.56,5,7,5
835,8,Sunday,8,2,10.0,2,3.73,6.27,3,2,3
836,8,Sunday,8,3,2.0,5,1.93,0.07,1,1,1
837,8,Sunday,8,4,6.0,6,5.39,0.61,3,3,1
838,8,Sunday,8,5,3.0,1,3.27,0.27,2,2,1
839,8,Sunday,8,6,4.0,3,10.04,6.04,2,4,3
840,8,Sunday,8,7,30.0,9,67.22,37.22,6,8,7
841,8,Sunday,8,8,8.0,8,20.35,12.35,3,6,4
842,8,Sunday,8,9,20.0,4,12.86,7.14,5,4,3
843,8,Sunday,9,1,3.0,1,1.59,1.41,2,1,1
846,8,Sunday,9,4,4.5,8,8.58,4.08,2,3,2
847,8,Sunday,9,5,30.0,4,53.42,23.42,6,8,6
848,8,Sunday,9,6,12.0,6,18.6,6.6,4,5,3
849,8,Sunday,9,7,3.5,2,2.17,1.33,2,2,1
850,8,Sunday,9,8,8.0,5,4.19,3.81,3,2,2
851,8,Sunday,9,9,12.0,7,26.73,14.73,4,6,4
853,8,Sunday,9,11,10.0,3,10.32,0.32,3,4,1
855,9,Wednesday,1,1,4.0,6,2.25,1.75,2,2,1
856,9,Wednesday,1,2,20.0,4,35.14,15.14,5,7,5
858,9,Wednesday,1,4,6.0,1,2.66,3.34,3,2,2
859,9,Wednesday,1,5,2.5,5,3.09,0.59,2,2,1
860,9,Wednesday,1,6,8.0,2,2.61,5.39,3,2,3
861,9,Wednesday,1,7,10.0,3,14.87,4.87,3,4,2
863,9,Wednesday,2,2,5.0,3,2.8,2.2,2,2,2
864,9,Wednesday,2,3,6.0,5,8.39,2.39,3,3,2
865,9,Wednesday,2,4,4.0,2,2.4,1.6,2,2,1
866,9,Wednesday,2,5,8.0,4,3.2,4.8,3,2,2
868,9,Wednesday,2,7,6.0,6,10.01,4.01,3,4,2
869,9,Wednesday,2,8,30.0,1,10.53,19.47,6,4,5
871,9,Wednesday,2,10,10.0,7,17.65,7.65,3,5,3
872,9,Wednesday,2,11,15.0,8,16.03,1.03,4,5,1
873,9,Wednesday,3,1,3.5,1,5.05,1.55,2,3,1
874,9,Wednesday,3,2,1.8,4,3.45,1.65,1,2,1
875,9,Wednesday,3,3,3.0,3,2.12,0.88,2,2,1
876,9,Wednesday,3,4,20.0,5,10.56,9.44,5,4,3
877,9,Wednesday,3,5,2.5,2,2.42,0.08,2,2,1
878,9,Wednesday,3,6,8.0,6,8.79,0.79,3,3,1
880,9,Wednesday,4,2,3.5,1,1.6,1.9,2,1,1
881,9,Wednesday,4,3,8.0,5,22.54,14.54,3,6,4
883,9,Wednesday,4,5,15.0,7,33.15,18.15,4,7,5
884,9,Wednesday,4,6,20.0,2,19.02,0.98,5,5,1
885,9,Wednesday,4,7,30.0,6,48.2,18.2,6,7,5
887,9,Wednesday,4,9,4.5,3,1.79,2.71,2,1,2
889,9,Wednesday,4,11,20.0,8,23.89,3.89,5,6,2
890,9,Wednesday,4,12,30.0,4,2.76,27.24,6,2,6
891,9,Wednesday,5,1,4.0,4,17.88,13.88,2,5,4
892,9,Wednesday,5,2,3.0,1,2.25,0.75,2,2,1
893,9,Wednesday,5,3,8.0,8,3.87,4.13,3,2,2
894,9,Wednesday,5,4,12.0,9,12.57,0.57,4,4,1
895,9,Wednesday,5,5,6.0,6,27.36,21.36,3,6,6
896,9,Wednesday,5,6,8.0,7,7.03,0.97,3,3,1
897,9,Wednesday,5,7,10.0,3,5.11,4.89,3,3,2
898,9,Wednesday,5,8,3.5,2,4.09,0.59,2,2,1
899,9,Wednesday,5,9,20.0,5,30.03,10.03,5,7,4
900,9,Wednesday,6,1,3.0,2,3.0,0.0,2,2,1
901,9,Wednesday,6,2,12.0,5,12.49,0.49,4,4,1
902,9,Wednesday,6,3,4.5,6,10.57,6.07,2,4,3
903,9,Wednesday,6,4,4.0,4,10.26,6.26,2,4,3
904,9,Wednesday,6,5,1.2,1,1.16,0.04,1,1,1
905,9,Wednesday,6,6,8.0,3,3.34,4.66,3,2,2
906,9,Wednesday,7,1,4.5,3,2.43,2.07,2,2,2
907,9,Wednesday,7,2,2.5,1,1.09,1.41,2,1,1
908,9,Wednesday,7,3,10.0,5,24.55,14.55,3,6,4
909,9,Wednesday,7,4,20.0,4,67.13,47.13,5,8,7
910,9,Wednesday,7,5,20.0,7,55.03,35.03,5,8,7
911,9,Wednesday,7,6,10.0,6,18.7,8.7,3,5,3
913,9,Wednesday,7,8,12.0,8,16.17,4.17,4,5,2
914,9,Wednesday,7,9,50.0,11,118.62,68.62,7,8,8
915,9,Wednesday,7,10,30.0,9,80.26,50.26,6,8,8
916,9,Wednesday,7,11,8.0,10,15.63,7.63,3,5,3
917,9,Wednesday,7,12,3.5,2,5.23,1.73,2,3,1
921,9,Wednesday,8,1,1.8,2,1.11,0.69,1,1,1
922,9,Wednesday,8,2,12.0,5,13.17,1.17,4,4,1
923,9,Wednesday,8,3,20.0,3,15.13,4.87,5,5,2
924,9,Wednesday,8,4,20.0,6,23.99,3.99,5,6,2
926,9,Wednesday,8,6,6.0,1,3.99,2.01,3,2,2
928,9,Wednesday,8,8,2.5,4,1.89,0.61,2,1,1
929,10,Thursday,1,1,1.2,4,2.02,0.82,1,2,1
930,10,Thursday,1,2,6.0,2,5.61,0.39,3,3,1
931,10,Thursday,1,3,20.0,5,49.0,29.0,5,7,6
933,10,Thursday,1,5,8.0,3,13.9,5.9,3,4,3
934,10,Thursday,1,6,3.0,1,1.03,1.97,2,1,1
935,10,Thursday,1,7,4.5,6,6.67,2.17,2,3,2
936,10,Thursday,2,1,1.2,1,0.19,1.01,1,1,1
937,10,Thursday,2,2,6.0,5,4.8,1.2,3,2,1
940,10,Thursday,2,5,30.0,4,27.94,2.06,6,6,2
942,10,Thursday,2,7,20.0,3,11.69,8.31,5,4,3
943,10,Thursday,2,8,20.0,2,14.3,5.7,5,4,3
947,10,Thursday,3,1,10.0,1,4.43,5.57,3,2,3
948,10,Thursday,3,2,8.0,10,15.0,7.0,3,4,3
950,10,Thursday,3,4,3.0,8,3.76,0.76,2,2,1
952,10,Thursday,3,6,8.0,3,5.01,2.99,3,3,2
953,10,Thursday,3,7,4.5,5,3.23,1.27,2,2,1
954,10,Thursday,3,8,15.0,9,28.22,13.22,4,6,4
955,10,Thursday,3,9,12.0,2,7.33,4.67,4,3,2
956,10,Thursday,3,10,30.0,6,74.38,44.38,6,8,7
957,10,Thursday,3,11,20.0,4,14.86,5.14,5,4,3
958,10,Thursday,3,12,8.0,7,8.89,0.89,3,3,1
959,10,Thursday,4,1,2.0,3,2.3,0.3,1,2,1
960,10,Thursday,4,2,10.0,7,13.27,3.27,3,4,2
961,10,Thursday,4,3,3.0,2,1.09,1.91,2,1,1
962,10,Thursday,4,4,8.0,5,13.3,5.3,3,4,3
963,10,Thursday,4,5,15.0,6,26.14,11.14,4,6,4
965,10,Thursday,4,7,4.5,1,4.05,0.45,2,2,1
966,10,Thursday,4,8,20.0,4,27.42,7.42,5,6,3
968,10,Thursday,5,1,10.0,1,2.63,7.37,3,2,3
969,10,Thursday,5,2,5.0,4,7.83,2.83,2,3,2
970,10,Thursday,5,3,6.0,3,3.89,2.11,3,2,2
971,10,Thursday,5,4,4.0,5,6.53,2.53,2,3,2
972,10,Thursday,5,5,15.0,11,26.34,11.34,4,6,4
973,10,Thursday,5,6,20.0,10,51.32,31.32,5,8,7
974,10,Thursday,5,7,4.5,8,6.36,1.86,2,3,1
975,10,Thursday,5,8,30.0,7,45.02,15.02,6,7,5
976,10,Thursday,5,9,8.0,2,6.34,1.66,3,3,1
978,10,Thursday,5,11,12.0,6,17.62,5.62,4,5,3
979,10,Thursday,5,12,6.0,9,15.06,9.06,3,5,3
984,10,Thursday,6,1,3.5,1,2.91,0.59,2,2,1
985,10,Thursday,6,2,8.0,5,10.42,2.42,3,4,2
986,10,Thursday,6,3,30.0,6,45.65,15.65,6,7,5
987,10,Thursday,6,4,2.5,2,2.82,0.32,2,2,1
989,10,Thursday,6,6,8.0,4,20.11,12.11,3,6,4
990,10,Thursday,6,7,1.2,3,0.93,0.27,1,1,1
991,10,Thursday,7,1,4.0,7,3.22,0.78,2,2,1
992,10,Thursday,7,2,8.0,8,8.81,0.81,3,3,1
993,10,Thursday,7,3,4.5,3,3.83,0.67,2,2,1
994,10,Thursday,7,4,20.0,1,51.89,31.89,5,8,7
998,10,Thursday,7,8,10.0,5,5.85,4.15,3,3,2
999,10,Thursday,7,9,10.0,4,11.82,1.82,3,4,1
1000,10,Thursday,7,10,15.0,9,26.98,11.98,4,6,4
1003,10,Thursday,7,13,15.0,6,25.6,10.6,4,6,4
1004,10,Thursday,7,14,4.0,2,2.03,1.97,2,2,1
1006,10,Thursday,8,1,15.0,5,20.3,5.3,4,6,3
1007,10,Thursday,8,2,6.0,4,3.65,2.35,3,2,2
1008,10,Thursday,8,3,3.5,1,8.84,5.34,2,3,3
1009,10,Thursday,8,4,4.5,9,5.39,0.89,2,3,1
1010,10,Thursday,8,5,10.0,7,31.29,21.29,3,7,6
1011,10,Thursday,8,6,6.0,6,12.75,6.75,3,4,3
1012,10,Thursday,8,7,12.0,8,10.6,1.4,4,4,1
1013,10,Thursday,8,8,8.0,3,7.68,0.32,3,3,1
1014,10,Thursday,8,9,3.0,2,1.73,1.27,2,1,1
1015,10,Thursday,9,1,4.5,9,2.2,2.3,2,2,2
1016,10,Thursday,9,2,10.0,3,3.28,6.72,3,2,3
