,Day,Weekday,Race Number,Post Position,M/L Odds,Final Odds,Change In Odds,Distance,FieldSize,Favorite,HalfMileTime,FinalTime,WinnersTrainer,WinnersJockey,ExactaPayout,SuperfectaPayout,TrifectaPayout
98,11,Friday,5,7,15.0,22.5,7.5,8.0,11,N,47.38,95.81,Walsh Brendan                                                                                                          ,Morales Edgar                                                                                                          ,155.93,468.11,659.25
99,11,Friday,6,3,0.8,0.54,-0.26,6.0,6,Y,46.13,71.06,Cox Brad                                                                                                               ,Gaffalione Tyler                                                                                                       ,5.3,8.46,18.06
100,11,Friday,7,10,6.0,6.08,0.08,5.5,10,N,44.1,62.32,Blair Jordan                                                                                                           ,Gutierrez Reylu                                                                                                        ,34.4,196.39,65.76
101,11,Friday,8,10,3.5,2.82,-0.68,8.5,8,N,48.34,103.89,DeVaux Cherie                                                                                                          ,Ortiz Jose                                                                                                             ,5.98,8.21,8.71
102,11,Friday,9,1,2.5,2.79,0.29,8.5,7,N,48.62,104.24,Brown Chad                                                                                                             ,Prat Flavien                                                                                                           ,42.4,25.3,48.97
103,11,Friday,10,11,1.8,1.5,-0.3,8.0,10,Y,47.99,95.23,DeVaux Cherie                                                                                                          ,Ortiz Jose                                                                                                             ,10.85,20.4,35.13
104,12,Saturday,1,1,10.0,5.2,-4.8,6.0,8,N,45.73,72.72,Girten Tim                                                                                                             ,Cedillo Abel                                                                                                           ,20.97,19.29,34.86
105,12,Saturday,2,11,8.0,3.76,-4.24,6.0,12,N,46.56,71.71,Romans Dale                                                                                                            ,Garcia Martin                                                                                                          ,193.49,1751.14,1124.87
106,12,Saturday,3,4,0.8,1.11,0.31,6.0,6,Y,45.59,71.0,Mott Riley                                                                                                             ,Alvarado Junior                                                                                                        ,5.76,4.36,6.35
107,12,Saturday,4,5,4.0,13.03,9.03,5.5,12,N,43.96,62.23,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,104.52,815.2,133.0
108,12,Saturday,5,6,2.0,1.72,-0.28,9.0,7,Y,48.03,112.2,Brown Chad                                                                                                             ,Ortiz Jr. Irad                                                                                                         ,10.92,19.83,17.01
109,12,Saturday,6,2,8.0,6.74,-1.26,8.0,11,N,46.27,94.64,Drury Jr. Thomas                                                                                                       ,Saez Luis                                                                                                              ,45.16,259.05,73.42
110,12,Saturday,7,8,3.0,3.02,0.02,7.0,7,N,46.53,89.5,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,12.15,21.07,29.11
111,12,Saturday,8,11,8.0,5.76,-2.24,12.0,9,N,50.56,147.37,Appleby Charles                                                                                                        ,Prat Flavien                                                                                                           ,25.85,52.63,25.65
112,12,Saturday,9,4,2.0,1.68,-0.32,9.5,9,Y,48.57,117.74,Pletcher Todd                                                                                                          ,Saez Luis                                                                                                              ,9.54,59.62,73.91
113,12,Saturday,10,11,10.0,5.94,-4.06,5.5,12,N,44.17,62.65,Correas IV Ignacio                                                                                                     ,Prat Flavien                                                                                                           ,19.5,281.45,173.76
